#{"t_start": 1719057381.053993, "env_id": "LunarLander-v2"}
r,l,t
-45.583052,1000,69.623106
-79.669327,1000,69.904082
0.808021,1000,70.18295
-38.379113,1000,70.487701
-42.502537,1000,70.768262
-68.702652,1000,71.046329
-107.834145,1000,71.329307
-17.331758,1000,71.611282
-23.782397,1000,71.884352
-19.253085,1000,72.15464
-89.976722,1000,72.454659
4.120464,1000,72.748613
204.493751,683,72.958062
-45.814395,1000,73.284128
-63.579777,1000,73.557748
-27.238655,1000,73.828021
-13.946207,1000,74.095153
-46.55071,1000,74.37704
-39.943883,1000,74.65391
-18.482453,1000,74.950208
6.957363,1000,75.22639
88.923663,975,75.513628
133.903493,931,75.771814
-15.700485,1000,76.090819
205.857874,666,76.288651
-12.758303,1000,76.574009
-55.832499,1000,76.842326
-60.656919,1000,77.127222
-40.682368,1000,77.406549
-22.581034,1000,77.690636
-54.268971,1000,77.957411
-78.923019,1000,78.241811
-21.93082,1000,78.536101
-18.217191,1000,78.814035
-23.951834,1000,79.083742
-32.517727,1000,79.366883
-53.040798,1000,79.651524
-19.477643,1000,79.942723
-30.895791,1000,80.243089
-48.554224,1000,80.535285
196.42077,674,80.717307
10.285437,1000,81.000226
-24.975425,1000,81.269203
203.105967,868,81.552727
-73.047033,1000,81.83119
120.950852,925,82.094284
167.951366,714,82.291174
-29.186804,1000,82.600804
-36.530022,1000,82.87448
-48.492165,1000,83.163666
212.896553,742,83.376496
1.123037,1000,83.67409
3.516929,1000,83.946568
272.236928,345,84.042264
175.531843,729,84.253149
-13.027596,241,84.320189
217.454769,643,84.512448
-31.011811,1000,84.792529
-49.413123,1000,85.064078
-20.669371,1000,85.344864
-60.092108,1000,85.631345
-14.504759,1000,85.905651
-9.611598,1000,86.18731
-45.90479,1000,86.474493
234.423408,511,86.621723
177.309492,808,86.845779
233.303619,518,86.988412
259.537045,427,87.11308
-75.415916,1000,87.417549
-43.177142,1000,87.699267
-32.850298,1000,87.984166
-44.575465,1000,88.279249
302.271824,581,88.472933
119.141293,967,88.746538
29.16111,294,88.827217
241.970008,393,88.93654
127.664317,963,89.206731
